2024-09-17 20:40:45.077 | INFO     | __main__:<module>:27 | starting bot | {}
2024-09-17 22:35:19.684 | INFO     | src.middlewares.logging:__call__:114 | Handled message | {'update_id': 599065260, 'message_id': 21, 'chat_type': 'private', 'chat_id': 1084574418, 'user_id': 1084574418, 'text': '/week', 'entities': [MessageEntity(type='bot_command', offset=0, length=5, url=None, user=None, language=None, custom_emoji_id=None)], 'process_result': True, 'spent_time_ms': 3095.5}
2024-09-17 22:39:00.471 | INFO     | __main__:<module>:5 | starting bot | {}
2024-09-17 22:39:07.694 | DEBUG    | src.middlewares.logging:__call__:54 | Received message | {'update_id': 599065262, 'message_id': 25, 'chat_type': 'private', 'chat_id': 1084574418, 'user_id': 1084574418, 'text': '/start', 'entities': [MessageEntity(type='bot_command', offset=0, length=6, url=None, user=None, language=None, custom_emoji_id=None)]}
2024-09-17 22:39:07.924 | INFO     | src.middlewares.logging:__call__:114 | Handled message | {'update_id': 599065262, 'message_id': 25, 'chat_type': 'private', 'chat_id': 1084574418, 'user_id': 1084574418, 'text': '/start', 'entities': [MessageEntity(type='bot_command', offset=0, length=6, url=None, user=None, language=None, custom_emoji_id=None)], 'process_result': True, 'spent_time_ms': 229.6}
2024-09-17 22:39:18.051 | DEBUG    | src.middlewares.logging:__call__:54 | Received message | {'update_id': 599065263, 'message_id': 27, 'chat_type': 'private', 'chat_id': 1084574418, 'user_id': 1084574418, 'text': 'ИУ6-11Б', 'entities': None}
2024-09-17 22:39:18.215 | INFO     | src.middlewares.logging:__call__:114 | Handled message | {'update_id': 599065263, 'message_id': 27, 'chat_type': 'private', 'chat_id': 1084574418, 'user_id': 1084574418, 'text': 'ИУ6-11Б', 'entities': None, 'process_result': True, 'spent_time_ms': 164.2}
2024-09-17 22:39:21.289 | DEBUG    | src.middlewares.logging:__call__:54 | Received message | {'update_id': 599065264, 'message_id': 29, 'chat_type': 'private', 'chat_id': 1084574418, 'user_id': 1084574418, 'text': '/week', 'entities': [MessageEntity(type='bot_command', offset=0, length=5, url=None, user=None, language=None, custom_emoji_id=None)]}
2024-09-17 22:39:24.563 | INFO     | src.middlewares.logging:__call__:114 | Handled message | {'update_id': 599065264, 'message_id': 29, 'chat_type': 'private', 'chat_id': 1084574418, 'user_id': 1084574418, 'text': '/week', 'entities': [MessageEntity(type='bot_command', offset=0, length=5, url=None, user=None, language=None, custom_emoji_id=None)], 'process_result': True, 'spent_time_ms': 3274.0}
2024-09-17 22:39:30.767 | DEBUG    | src.middlewares.logging:__call__:54 | Received message | {'update_id': 599065265, 'message_id': 31, 'chat_type': 'private', 'chat_id': 1084574418, 'user_id': 1084574418, 'text': '/start', 'entities': [MessageEntity(type='bot_command', offset=0, length=6, url=None, user=None, language=None, custom_emoji_id=None)]}
2024-09-17 22:39:31.439 | INFO     | src.middlewares.logging:__call__:114 | Handled message | {'update_id': 599065265, 'message_id': 31, 'chat_type': 'private', 'chat_id': 1084574418, 'user_id': 1084574418, 'text': '/start', 'entities': [MessageEntity(type='bot_command', offset=0, length=6, url=None, user=None, language=None, custom_emoji_id=None)], 'process_result': True, 'spent_time_ms': 672.3}
2024-09-17 22:39:36.067 | DEBUG    | src.middlewares.logging:__call__:54 | Received message | {'update_id': 599065266, 'message_id': 33, 'chat_type': 'private', 'chat_id': 1084574418, 'user_id': 1084574418, 'text': 'ИБМ6-12Б', 'entities': None}
2024-09-17 22:39:36.156 | INFO     | src.middlewares.logging:__call__:114 | Handled message | {'update_id': 599065266, 'message_id': 33, 'chat_type': 'private', 'chat_id': 1084574418, 'user_id': 1084574418, 'text': 'ИБМ6-12Б', 'entities': None, 'process_result': True, 'spent_time_ms': 89.4}
2024-09-17 22:39:38.932 | DEBUG    | src.middlewares.logging:__call__:54 | Received message | {'update_id': 599065267, 'message_id': 35, 'chat_type': 'private', 'chat_id': 1084574418, 'user_id': 1084574418, 'text': '/week', 'entities': [MessageEntity(type='bot_command', offset=0, length=5, url=None, user=None, language=None, custom_emoji_id=None)]}
2024-09-17 22:39:40.641 | INFO     | src.middlewares.logging:__call__:114 | Handled message | {'update_id': 599065267, 'message_id': 35, 'chat_type': 'private', 'chat_id': 1084574418, 'user_id': 1084574418, 'text': '/week', 'entities': [MessageEntity(type='bot_command', offset=0, length=5, url=None, user=None, language=None, custom_emoji_id=None)], 'process_result': True, 'spent_time_ms': 1708.9}
2024-09-18 07:02:47.514 | INFO     | __main__:<module>:5 | starting bot | {}
2024-09-18 07:02:59.365 | DEBUG    | src.middlewares.logging:__call__:54 | Received message | {'update_id': 599065268, 'message_id': 37, 'chat_type': 'private', 'chat_id': 1084574418, 'user_id': 1084574418, 'text': '/week', 'entities': [MessageEntity(type='bot_command', offset=0, length=5, url=None, user=None, language=None, custom_emoji_id=None)]}
2024-09-18 07:03:00.650 | INFO     | src.middlewares.logging:__call__:114 | Handled message | {'update_id': 599065268, 'message_id': 37, 'chat_type': 'private', 'chat_id': 1084574418, 'user_id': 1084574418, 'text': '/week', 'entities': [MessageEntity(type='bot_command', offset=0, length=5, url=None, user=None, language=None, custom_emoji_id=None)], 'process_result': True, 'spent_time_ms': 1284.5}
2024-09-18 07:03:08.481 | DEBUG    | src.middlewares.logging:__call__:54 | Received message | {'update_id': 599065269, 'message_id': 39, 'chat_type': 'private', 'chat_id': 1084574418, 'user_id': 1084574418, 'text': '/share', 'entities': [MessageEntity(type='bot_command', offset=0, length=6, url=None, user=None, language=None, custom_emoji_id=None)]}
2024-09-18 07:03:09.399 | INFO     | src.middlewares.logging:__call__:114 | Handled message | {'update_id': 599065269, 'message_id': 39, 'chat_type': 'private', 'chat_id': 1084574418, 'user_id': 1084574418, 'text': '/share', 'entities': [MessageEntity(type='bot_command', offset=0, length=6, url=None, user=None, language=None, custom_emoji_id=None)], 'process_result': True, 'spent_time_ms': 918.9}
